id,uid,name,description,website,business_type,created_at,updated_at,log_data
"377","csm_XMjMWmK23LNamGv","Religion of Sports",,"https://www.religionofsports.com/",,"2021-12-28 10:36:30.611919","2021-12-28 10:36:32.370504","{""h"": [{""c"": {""id"": 377, ""uid"": ""csm_XMjMWmK23LNamGv"", ""name"": ""Religion of Sports"", ""website"": ""https://www.religionofsports.com/"", ""created_at"": ""2021-12-28T10:36:30.611919"", ""updated_at"": ""2021-12-28T10:36:30.611919"", ""description"": null, ""business_type"": null}, ""v"": 1, ""ts"": 1640687790612}, {""c"": {""updated_at"": ""2021-12-28 10:36:32.370504""}, ""v"": 2, ""ts"": 1640687792371}], ""v"": 2}"
"264","csm_pgxvSpGhZyMJTiV","Rocket Shop",,"https://rocketsshop.com/","B2B","2021-11-03 12:00:41.800933","2021-11-03 12:01:01.610231","{""h"": [{""c"": {""id"": 264, ""uid"": ""csm_pgxvSpGhZyMJTiV"", ""name"": ""Rocket Shop"", ""website"": ""https://rocketsshop.com/"", ""created_at"": ""2021-11-03T12:00:41.800933"", ""updated_at"": ""2021-11-03T12:00:41.800933"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1635940841801}, {""c"": {""updated_at"": ""2021-11-03 12:01:01.610231""}, ""v"": 2, ""ts"": 1635940861610}], ""v"": 2}"
"388","csm_6Nfbqs5JfciDldH","LocalVox",,"",,"2022-01-24 12:22:17.560063","2022-01-27 06:59:26.798207","{""h"": [{""c"": {""id"": 388, ""uid"": ""csm_6Nfbqs5JfciDldH"", ""name"": ""LocalVox"", ""website"": ""n/a - acquired by https://vivial.net/"", ""created_at"": ""2022-01-24T12:22:17.560063"", ""updated_at"": ""2022-01-24T12:22:17.560063"", ""description"": null, ""business_type"": null}, ""v"": 1, ""ts"": 1643026937560}, {""c"": {""website"": null, ""updated_at"": ""2022-01-24 12:41:33.111319""}, ""v"": 2, ""ts"": 1643028093111}, {""c"": {""website"": ""n/a - acquired by https://vivial.net/"", ""updated_at"": ""2022-01-26 15:18:34.57054""}, ""v"": 3, ""ts"": 1643210314571}, {""c"": {""website"": """", ""updated_at"": ""2022-01-27 06:59:26.798207""}, ""v"": 4, ""ts"": 1643266766798}], ""v"": 4}"
"320","csm_eMkkOJrc6Y3zyfE","Fiverr",,"https://www.fiverr.com",,"2021-11-10 20:44:05.88136","2021-11-10 20:44:26.033878","{""h"": [{""c"": {""id"": 320, ""uid"": ""csm_eMkkOJrc6Y3zyfE"", ""name"": ""Fiverr"", ""website"": ""https://www.fiverr.com"", ""created_at"": ""2021-11-10T20:44:05.88136"", ""updated_at"": ""2021-11-10T20:44:05.88136"", ""description"": null, ""business_type"": null}, ""v"": 1, ""ts"": 1636577045881}, {""c"": {""updated_at"": ""2021-11-10 20:44:26.033878""}, ""v"": 2, ""ts"": 1636577066034}], ""v"": 2}"
"329","csm_QMO9AM6T4bdvZFO","eJobs",,"https://www.ejobs.ro/","B2B","2021-11-11 12:50:01.297847","2021-11-11 12:50:43.553623","{""h"": [{""c"": {""id"": 329, ""uid"": ""csm_QMO9AM6T4bdvZFO"", ""name"": ""eJobs"", ""website"": ""https://www.ejobs.ro/"", ""created_at"": ""2021-11-11T12:50:01.297847"", ""updated_at"": ""2021-11-11T12:50:01.297847"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1636635001298}, {""c"": {""updated_at"": ""2021-11-11 12:50:43.553623""}, ""v"": 2, ""ts"": 1636635043554}], ""v"": 2}"
"328","csm_bySgHmPyGv5gRMX","Stem, Inc",,"https://www.stem.com","B2B","2021-11-11 12:50:00.235713","2021-11-11 12:50:45.650322","{""h"": [{""c"": {""id"": 328, ""uid"": ""csm_bySgHmPyGv5gRMX"", ""name"": ""Stem, Inc"", ""website"": ""https://www.stem.com"", ""created_at"": ""2021-11-11T12:50:00.235713"", ""updated_at"": ""2021-11-11T12:50:00.235713"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1636635000236}, {""c"": {""updated_at"": ""2021-11-11 12:50:45.650322""}, ""v"": 2, ""ts"": 1636635045650}], ""v"": 2}"
"359","csm_wp27tcxcMoThag1","Monetise",,"https://www.monetise.co.uk/","B2B","2021-11-29 08:42:59.301693","2021-11-29 08:43:19.008341","{""h"": [{""c"": {""id"": 359, ""uid"": ""csm_wp27tcxcMoThag1"", ""name"": ""Monetise"", ""website"": ""https://www.monetise.co.uk/"", ""created_at"": ""2021-11-29T08:42:59.301693"", ""updated_at"": ""2021-11-29T08:42:59.301693"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1638175379302}, {""c"": {""updated_at"": ""2021-11-29 08:43:19.008341""}, ""v"": 2, ""ts"": 1638175399008}], ""v"": 2}"
"362","csm_9uO0GBpqRWWOAQg","After, Inc.",,"https://afterinc.com/","B2B","2021-11-29 08:43:01.204165","2021-11-29 08:43:19.739966","{""h"": [{""c"": {""id"": 362, ""uid"": ""csm_9uO0GBpqRWWOAQg"", ""name"": ""After, Inc."", ""website"": ""https://afterinc.com/"", ""created_at"": ""2021-11-29T08:43:01.204165"", ""updated_at"": ""2021-11-29T08:43:01.204165"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1638175381204}, {""c"": {""updated_at"": ""2021-11-29 08:43:19.739966""}, ""v"": 2, ""ts"": 1638175399740}], ""v"": 2}"
"373","csm_pqB9g6eATpJ4C44","FRISKA",,"https://friskadesk.com",,"2021-12-13 13:40:04.487549","2021-12-13 13:40:27.302113","{""h"": [{""c"": {""id"": 373, ""uid"": ""csm_pqB9g6eATpJ4C44"", ""name"": ""FRISKA"", ""website"": ""https://friskadesk.com"", ""created_at"": ""2021-12-13T13:40:04.487549"", ""updated_at"": ""2021-12-13T13:40:04.487549"", ""description"": null, ""business_type"": null}, ""v"": 1, ""ts"": 1639402804488}, {""c"": {""updated_at"": ""2021-12-13 13:40:27.302113""}, ""v"": 2, ""ts"": 1639402827302}], ""v"": 2}"
"378","csm_9aR2zNW20I83XYE","Radium Games",,"http://www.radiumme.com",,"2022-01-06 12:46:05.173055","2022-01-06 12:46:05.173055","{""h"": [{""c"": {""id"": 378, ""uid"": ""csm_9aR2zNW20I83XYE"", ""name"": ""Radium Games"", ""website"": ""http://www.radiumme.com"", ""created_at"": ""2022-01-06T12:46:05.173055"", ""updated_at"": ""2022-01-06T12:46:05.173055"", ""description"": null, ""business_type"": null}, ""v"": 1, ""ts"": 1641473165173}], ""v"": 1}"
"385","csm_QSPJrcvoGidp8gb","Softgarden ",,"www.softgarden.com ","B2B","2022-01-19 18:07:25.109275","2022-01-19 18:07:51.817393","{""h"": [{""c"": {""id"": 385, ""uid"": ""csm_QSPJrcvoGidp8gb"", ""name"": ""Softgarden "", ""website"": ""www.softgarden.com "", ""created_at"": ""2022-01-19T18:07:25.109275"", ""updated_at"": ""2022-01-19T18:07:25.109275"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1642615645109}, {""c"": {""updated_at"": ""2022-01-19 18:07:51.817393""}, ""v"": 2, ""ts"": 1642615671817}], ""v"": 2}"
