id,uid,article_id,industry_id,created_at,updated_at,log_data
"216","csi_BJhWJBUvtCxMagX","86","586","2021-07-26 07:43:34.323815","2021-07-26 07:43:34.323815","{""h"": [{""c"": {""id"": 216, ""uid"": ""csi_BJhWJBUvtCxMagX"", ""article_id"": 86, ""created_at"": ""2021-07-26T07:43:34.323815"", ""updated_at"": ""2021-07-26T07:43:34.323815"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1627285414324}], ""v"": 1}"
"217","csi_Mgrzb30FLabGBXJ","86","707","2021-07-26 07:43:34.345399","2021-07-26 07:43:34.345399","{""h"": [{""c"": {""id"": 217, ""uid"": ""csi_Mgrzb30FLabGBXJ"", ""article_id"": 86, ""created_at"": ""2021-07-26T07:43:34.345399"", ""updated_at"": ""2021-07-26T07:43:34.345399"", ""industry_id"": 707}, ""v"": 1, ""ts"": 1627285414345}], ""v"": 1}"
"218","csi_EPaWiXv5ICSbhuz","86","423","2021-07-26 07:43:34.367763","2021-07-26 07:43:34.367763","{""h"": [{""c"": {""id"": 218, ""uid"": ""csi_EPaWiXv5ICSbhuz"", ""article_id"": 86, ""created_at"": ""2021-07-26T07:43:34.367763"", ""updated_at"": ""2021-07-26T07:43:34.367763"", ""industry_id"": 423}, ""v"": 1, ""ts"": 1627285414368}], ""v"": 1}"
"219","csi_OE2j86EHLJmPojy","86","79","2021-07-26 07:43:34.387634","2021-07-26 07:43:34.387634","{""h"": [{""c"": {""id"": 219, ""uid"": ""csi_OE2j86EHLJmPojy"", ""article_id"": 86, ""created_at"": ""2021-07-26T07:43:34.387634"", ""updated_at"": ""2021-07-26T07:43:34.387634"", ""industry_id"": 79}, ""v"": 1, ""ts"": 1627285414388}], ""v"": 1}"
"223","csi_qRJ8KTErXlYRLe0","89","586","2021-07-26 07:43:36.986409","2021-07-26 07:43:36.986409","{""h"": [{""c"": {""id"": 223, ""uid"": ""csi_qRJ8KTErXlYRLe0"", ""article_id"": 89, ""created_at"": ""2021-07-26T07:43:36.986409"", ""updated_at"": ""2021-07-26T07:43:36.986409"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1627285416986}], ""v"": 1}"
"224","csi_T1LCNqXDLlyDROy","89","248","2021-07-26 07:43:36.994159","2021-07-26 07:43:36.994159","{""h"": [{""c"": {""id"": 224, ""uid"": ""csi_T1LCNqXDLlyDROy"", ""article_id"": 89, ""created_at"": ""2021-07-26T07:43:36.994159"", ""updated_at"": ""2021-07-26T07:43:36.994159"", ""industry_id"": 248}, ""v"": 1, ""ts"": 1627285416994}], ""v"": 1}"
"1143","csi_m0YjM7xHxjvl0So","312","417","2022-01-26 15:18:06.795399","2022-01-26 15:18:06.795399","{""h"": [{""c"": {""id"": 1143, ""uid"": ""csi_m0YjM7xHxjvl0So"", ""article_id"": 312, ""created_at"": ""2022-01-26T15:18:06.795399"", ""updated_at"": ""2022-01-26T15:18:06.795399"", ""industry_id"": 417}, ""v"": 1, ""ts"": 1643210286795}], ""v"": 1}"
"1148","csi_xs2AioyDDXraK0x","313","134","2022-01-26 15:18:11.537996","2022-01-26 15:18:11.537996","{""h"": [{""c"": {""id"": 1148, ""uid"": ""csi_xs2AioyDDXraK0x"", ""article_id"": 313, ""created_at"": ""2022-01-26T15:18:11.537996"", ""updated_at"": ""2022-01-26T15:18:11.537996"", ""industry_id"": 134}, ""v"": 1, ""ts"": 1643210291538}], ""v"": 1}"
"1151","csi_XCzpQG8dlrrOLKI","307","431","2022-01-26 15:18:13.98677","2022-01-26 15:18:13.98677","{""h"": [{""c"": {""id"": 1151, ""uid"": ""csi_XCzpQG8dlrrOLKI"", ""article_id"": 307, ""created_at"": ""2022-01-26T15:18:13.98677"", ""updated_at"": ""2022-01-26T15:18:13.98677"", ""industry_id"": 431}, ""v"": 1, ""ts"": 1643210293987}], ""v"": 1}"
"1152","csi_HzIvZFO4rUhEybK","306","662","2022-01-26 15:18:15.364485","2022-01-26 15:18:15.364485","{""h"": [{""c"": {""id"": 1152, ""uid"": ""csi_HzIvZFO4rUhEybK"", ""article_id"": 306, ""created_at"": ""2022-01-26T15:18:15.364485"", ""updated_at"": ""2022-01-26T15:18:15.364485"", ""industry_id"": 662}, ""v"": 1, ""ts"": 1643210295364}], ""v"": 1}"
