id,skill_id,skill_category_id,created_at,updated_at
"176","366","10","2021-10-12 06:35:54.978532","2021-10-12 06:35:54.978532"
"177","1121","10","2021-10-12 06:35:54.983138","2021-10-12 06:35:54.983138"
"178","92","10","2021-10-12 06:35:54.987882","2021-10-12 06:35:54.987882"
"179","80","10","2021-10-12 06:35:54.992781","2021-10-12 06:35:54.992781"
"180","786","10","2021-10-12 06:35:54.997625","2021-10-12 06:35:54.997625"
"181","89","10","2021-10-12 06:35:55.002804","2021-10-12 06:35:55.002804"
"182","692","10","2021-10-12 06:35:55.007911","2021-10-12 06:35:55.007911"
"184","824","10","2021-10-12 06:35:55.018738","2021-10-12 06:35:55.018738"
"185","394","10","2021-10-12 06:35:55.024846","2021-10-12 06:35:55.024846"
"186","709","10","2021-10-12 06:35:55.029885","2021-10-12 06:35:55.029885"
"187","335","10","2021-10-12 06:35:55.03505","2021-10-12 06:35:55.03505"
"188","3","10","2021-10-12 06:35:55.039743","2021-10-12 06:35:55.039743"
"189","1106","10","2021-10-12 06:35:55.044146","2021-10-12 06:35:55.044146"
"190","693","10","2021-10-12 06:35:55.048466","2021-10-12 06:35:55.048466"
"191","1179","10","2021-10-12 06:35:55.053168","2021-10-12 06:35:55.053168"
"192","47","10","2021-10-12 06:35:55.05791","2021-10-12 06:35:55.05791"
"193","1218","10","2021-10-12 06:35:55.062233","2021-10-12 06:35:55.062233"
"194","134","11","2021-10-12 06:35:55.068139","2021-10-12 06:35:55.068139"
"195","200","11","2021-10-12 06:35:55.072849","2021-10-12 06:35:55.072849"
"196","2162","11","2021-10-12 06:35:55.077294","2021-10-12 06:35:55.077294"
"197","877","11","2021-10-12 06:35:55.082251","2021-10-12 06:35:55.082251"
"198","3157","11","2021-10-12 06:35:55.087338","2021-10-12 06:35:55.087338"
"199","853","12","2021-10-12 06:35:55.092977","2021-10-12 06:35:55.092977"
"200","647","12","2021-10-12 06:35:55.097884","2021-10-12 06:35:55.097884"
"201","601","12","2021-10-12 06:35:55.102355","2021-10-12 06:35:55.102355"
"202","251","12","2021-10-12 06:35:55.106907","2021-10-12 06:35:55.106907"
"203","884","12","2021-10-12 06:35:55.111874","2021-10-12 06:35:55.111874"
