id,uid,article_id,type,position,created_at,updated_at,log_data
"7443","css_tJr9IRSZhlcXpWd","361","outcome","2","2022-01-26 15:18:32.929449","2022-01-26 15:18:32.929449","{""h"": [{""c"": {""id"": 7443, ""uid"": ""css_tJr9IRSZhlcXpWd"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 361, ""created_at"": ""2022-01-26T15:18:32.929449"", ""updated_at"": ""2022-01-26T15:18:32.929449""}, ""v"": 1, ""ts"": 1643210312929}], ""v"": 1}"
"7539","css_R0eVfROmJyS8IGb","403","outcome","2","2022-02-09 16:13:49.957849","2022-02-09 16:13:49.957849","{""h"": [{""c"": {""id"": 7539, ""uid"": ""css_R0eVfROmJyS8IGb"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 403, ""created_at"": ""2022-02-09T16:13:49.957849"", ""updated_at"": ""2022-02-09T16:13:49.957849""}, ""v"": 1, ""ts"": 1644423229958}], ""v"": 1}"
"7549","css_Dw43lg2kAJiujxs","407","background","0","2022-02-09 16:18:19.472664","2022-02-09 16:18:19.472664","{""h"": [{""c"": {""id"": 7549, ""uid"": ""css_Dw43lg2kAJiujxs"", ""type"": ""background"", ""position"": 0, ""article_id"": 407, ""created_at"": ""2022-02-09T16:18:19.472664"", ""updated_at"": ""2022-02-09T16:18:19.472664""}, ""v"": 1, ""ts"": 1644423499473}], ""v"": 1}"
"7550","css_Axa0EDBZ16DomTZ","407","overview","1","2022-02-09 16:18:19.479822","2022-02-09 16:18:19.479822","{""h"": [{""c"": {""id"": 7550, ""uid"": ""css_Axa0EDBZ16DomTZ"", ""type"": ""overview"", ""position"": 1, ""article_id"": 407, ""created_at"": ""2022-02-09T16:18:19.479822"", ""updated_at"": ""2022-02-09T16:18:19.479822""}, ""v"": 1, ""ts"": 1644423499480}], ""v"": 1}"
"7551","css_szPPc6EIdB8rvFl","407","outcome","2","2022-02-09 16:18:19.52263","2022-02-09 16:18:19.52263","{""h"": [{""c"": {""id"": 7551, ""uid"": ""css_szPPc6EIdB8rvFl"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 407, ""created_at"": ""2022-02-09T16:18:19.52263"", ""updated_at"": ""2022-02-09T16:18:19.52263""}, ""v"": 1, ""ts"": 1644423499523}], ""v"": 1}"
"4617","css_LCeIuThednBsTg5","300","outcome","2","2021-11-11 12:54:33.06356","2021-11-11 12:54:33.06356","{""h"": [{""c"": {""id"": 4617, ""uid"": ""css_LCeIuThednBsTg5"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 300, ""created_at"": ""2021-11-11T12:54:33.06356"", ""updated_at"": ""2021-11-11T12:54:33.06356""}, ""v"": 1, ""ts"": 1636635273064}], ""v"": 1}"
"7446","css_QYK82GsHPk2fwZz","363","outcome","2","2022-01-26 15:18:34.709324","2022-01-26 15:18:34.709324","{""h"": [{""c"": {""id"": 7446, ""uid"": ""css_QYK82GsHPk2fwZz"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 363, ""created_at"": ""2022-01-26T15:18:34.709324"", ""updated_at"": ""2022-01-26T15:18:34.709324""}, ""v"": 1, ""ts"": 1643210314709}], ""v"": 1}"
"7447","css_BubsjRZKLsjxw8c","362","background","0","2022-01-26 15:18:35.436897","2022-01-26 15:18:35.436897","{""h"": [{""c"": {""id"": 7447, ""uid"": ""css_BubsjRZKLsjxw8c"", ""type"": ""background"", ""position"": 0, ""article_id"": 362, ""created_at"": ""2022-01-26T15:18:35.436897"", ""updated_at"": ""2022-01-26T15:18:35.436897""}, ""v"": 1, ""ts"": 1643210315437}], ""v"": 1}"
"7448","css_FKsjfbFR85xVtvg","362","overview","1","2022-01-26 15:18:35.442861","2022-01-26 15:18:35.442861","{""h"": [{""c"": {""id"": 7448, ""uid"": ""css_FKsjfbFR85xVtvg"", ""type"": ""overview"", ""position"": 1, ""article_id"": 362, ""created_at"": ""2022-01-26T15:18:35.442861"", ""updated_at"": ""2022-01-26T15:18:35.442861""}, ""v"": 1, ""ts"": 1643210315443}], ""v"": 1}"
"4576","css_0AZo1sb2NXw5kfF","296","background","0","2021-11-11 12:44:41.928586","2021-11-11 12:44:41.928586","{""h"": [{""c"": {""id"": 4576, ""uid"": ""css_0AZo1sb2NXw5kfF"", ""type"": ""background"", ""position"": 0, ""article_id"": 296, ""created_at"": ""2021-11-11T12:44:41.928586"", ""updated_at"": ""2021-11-11T12:44:41.928586""}, ""v"": 1, ""ts"": 1636634681929}], ""v"": 1}"
"4577","css_pFquRdmGprsUItP","296","overview","1","2021-11-11 12:44:41.964429","2021-11-11 12:44:41.964429","{""h"": [{""c"": {""id"": 4577, ""uid"": ""css_pFquRdmGprsUItP"", ""type"": ""overview"", ""position"": 1, ""article_id"": 296, ""created_at"": ""2021-11-11T12:44:41.964429"", ""updated_at"": ""2021-11-11T12:44:41.964429""}, ""v"": 1, ""ts"": 1636634681964}], ""v"": 1}"
