id,uid,primary,article_id,skill_id,created_at,updated_at,log_data,search_id
"735","csk_W6S3nGrSDAyg4QU","f",,"425","2021-08-17 15:50:19.342126","2021-08-17 15:50:19.342126","{""h"": [{""c"": {""id"": 735, ""uid"": ""csk_W6S3nGrSDAyg4QU"", ""primary"": false, ""skill_id"": 425, ""search_id"": 279, ""article_id"": null, ""created_at"": ""2021-08-17T15:50:19.342126"", ""updated_at"": ""2021-08-17T15:50:19.342126""}, ""m"": {""_r"": 15473}, ""v"": 1, ""ts"": 1629215419342}], ""v"": 1}","279"
"768","csk_9KZPfAczs1bU9gN","t","149","425","2021-08-20 07:18:38.020364","2021-08-20 07:18:38.056053","{""h"": [{""c"": {""id"": 768, ""uid"": ""csk_9KZPfAczs1bU9gN"", ""primary"": null, ""skill_id"": 425, ""search_id"": null, ""article_id"": 149, ""created_at"": ""2021-08-20T07:18:38.020364"", ""updated_at"": ""2021-08-20T07:18:38.020364""}, ""v"": 1, ""ts"": 1629443918020}, {""c"": {""primary"": true, ""updated_at"": ""2021-08-20 07:18:38.056053""}, ""v"": 2, ""ts"": 1629443918056}], ""v"": 2}",
"876","csk_RPUKnncrQ0odKte",,"192","210","2021-09-07 19:54:43.278624","2021-09-07 19:54:43.278624","{""h"": [{""c"": {""id"": 876, ""uid"": ""csk_RPUKnncrQ0odKte"", ""primary"": null, ""skill_id"": 210, ""search_id"": null, ""article_id"": 192, ""created_at"": ""2021-09-07T19:54:43.278624"", ""updated_at"": ""2021-09-07T19:54:43.278624""}, ""v"": 1, ""ts"": 1631044483279}], ""v"": 1}",
"877","csk_pdntoatdsADxoLr",,"192","374","2021-09-07 19:54:43.285977","2021-09-07 19:54:43.285977","{""h"": [{""c"": {""id"": 877, ""uid"": ""csk_pdntoatdsADxoLr"", ""primary"": null, ""skill_id"": 374, ""search_id"": null, ""article_id"": 192, ""created_at"": ""2021-09-07T19:54:43.285977"", ""updated_at"": ""2021-09-07T19:54:43.285977""}, ""v"": 1, ""ts"": 1631044483286}], ""v"": 1}",
"878","csk_t2LSRgUj6XJaZk0",,"192","647","2021-09-07 19:54:43.293018","2021-09-07 19:54:43.293018","{""h"": [{""c"": {""id"": 878, ""uid"": ""csk_t2LSRgUj6XJaZk0"", ""primary"": null, ""skill_id"": 647, ""search_id"": null, ""article_id"": 192, ""created_at"": ""2021-09-07T19:54:43.293018"", ""updated_at"": ""2021-09-07T19:54:43.293018""}, ""v"": 1, ""ts"": 1631044483293}], ""v"": 1}",
"879","csk_BaC7x95tyVnqBh6",,"192","5","2021-09-07 19:54:43.299738","2021-09-07 19:54:43.299738","{""h"": [{""c"": {""id"": 879, ""uid"": ""csk_BaC7x95tyVnqBh6"", ""primary"": null, ""skill_id"": 5, ""search_id"": null, ""article_id"": 192, ""created_at"": ""2021-09-07T19:54:43.299738"", ""updated_at"": ""2021-09-07T19:54:43.299738""}, ""v"": 1, ""ts"": 1631044483300}], ""v"": 1}",
"504","csk_xdzO1N9TncDLTUW","f",,"8","2021-07-27 12:44:23.209175","2021-07-27 12:44:23.209175","{""h"": [{""c"": {""id"": 504, ""uid"": ""csk_xdzO1N9TncDLTUW"", ""primary"": false, ""skill_id"": 8, ""search_id"": 109, ""article_id"": null, ""created_at"": ""2021-07-27T12:44:23.209175"", ""updated_at"": ""2021-07-27T12:44:23.209175""}, ""m"": {""_r"": 17094}, ""v"": 1, ""ts"": 1627389863209}], ""v"": 1}","109"
"505","csk_nsUEtpJTW7SW6cM","f",,"488","2021-07-27 12:44:23.218145","2021-07-27 12:44:23.218145","{""h"": [{""c"": {""id"": 505, ""uid"": ""csk_nsUEtpJTW7SW6cM"", ""primary"": false, ""skill_id"": 488, ""search_id"": 109, ""article_id"": null, ""created_at"": ""2021-07-27T12:44:23.218145"", ""updated_at"": ""2021-07-27T12:44:23.218145""}, ""m"": {""_r"": 17094}, ""v"": 1, ""ts"": 1627389863218}], ""v"": 1}","109"
"506","csk_b0CVN5hhAxndRyj","f",,"420","2021-07-27 12:44:23.226777","2021-07-27 12:44:23.226777","{""h"": [{""c"": {""id"": 506, ""uid"": ""csk_b0CVN5hhAxndRyj"", ""primary"": false, ""skill_id"": 420, ""search_id"": 109, ""article_id"": null, ""created_at"": ""2021-07-27T12:44:23.226777"", ""updated_at"": ""2021-07-27T12:44:23.226777""}, ""m"": {""_r"": 17094}, ""v"": 1, ""ts"": 1627389863227}], ""v"": 1}","109"
"666","csk_GtJzqXLTJ4QrnFD","f",,"635","2021-08-04 15:11:34.685399","2021-08-04 15:11:34.685399","{""h"": [{""c"": {""id"": 666, ""uid"": ""csk_GtJzqXLTJ4QrnFD"", ""primary"": false, ""skill_id"": 635, ""search_id"": 194, ""article_id"": null, ""created_at"": ""2021-08-04T15:11:34.685399"", ""updated_at"": ""2021-08-04T15:11:34.685399""}, ""m"": {""_r"": 15473}, ""v"": 1, ""ts"": 1628089894685}], ""v"": 1}","194"
"702","csk_Lsf6OfCFzxYhU6C","f",,"75","2021-08-11 12:36:24.664686","2021-08-11 12:36:24.664686","{""h"": [{""c"": {""id"": 702, ""uid"": ""csk_Lsf6OfCFzxYhU6C"", ""primary"": false, ""skill_id"": 75, ""search_id"": 237, ""article_id"": null, ""created_at"": ""2021-08-11T12:36:24.664686"", ""updated_at"": ""2021-08-11T12:36:24.664686""}, ""m"": {""_r"": 30528}, ""v"": 1, ""ts"": 1628685384665}], ""v"": 1}","237"
"3612","csk_yYWhAyw7JhuRVMQ","t","310","1042","2022-01-26 15:18:12.008635","2022-01-26 15:18:12.030267","{""h"": [{""c"": {""id"": 3612, ""uid"": ""csk_yYWhAyw7JhuRVMQ"", ""primary"": null, ""skill_id"": 1042, ""search_id"": null, ""article_id"": 310, ""created_at"": ""2022-01-26T15:18:12.008635"", ""updated_at"": ""2022-01-26T15:18:12.008635""}, ""v"": 1, ""ts"": 1643210292009}, {""c"": {""primary"": true, ""updated_at"": ""2022-01-26 15:18:12.030267""}, ""v"": 2, ""ts"": 1643210292030}], ""v"": 2}",
"804","csk_GR5XbrpD11G8eK6","f",,"8","2021-08-25 14:13:02.909356","2021-08-25 14:13:02.909356","{""h"": [{""c"": {""id"": 804, ""uid"": ""csk_GR5XbrpD11G8eK6"", ""primary"": false, ""skill_id"": 8, ""search_id"": 356, ""article_id"": null, ""created_at"": ""2021-08-25T14:13:02.909356"", ""updated_at"": ""2021-08-25T14:13:02.909356""}, ""m"": {""_r"": 30637}, ""v"": 1, ""ts"": 1629900782909}], ""v"": 1}","356"
"852","csk_PQ3AuSemN2czau9",,"187","709","2021-09-07 19:54:37.607007","2021-09-07 19:54:37.607007","{""h"": [{""c"": {""id"": 852, ""uid"": ""csk_PQ3AuSemN2czau9"", ""primary"": null, ""skill_id"": 709, ""search_id"": null, ""article_id"": 187, ""created_at"": ""2021-09-07T19:54:37.607007"", ""updated_at"": ""2021-09-07T19:54:37.607007""}, ""v"": 1, ""ts"": 1631044477607}], ""v"": 1}",
"853","csk_uW3KptvlFAV8Nxd",,"187","244","2021-09-07 19:54:37.615047","2021-09-07 19:54:37.615047","{""h"": [{""c"": {""id"": 853, ""uid"": ""csk_uW3KptvlFAV8Nxd"", ""primary"": null, ""skill_id"": 244, ""search_id"": null, ""article_id"": 187, ""created_at"": ""2021-09-07T19:54:37.615047"", ""updated_at"": ""2021-09-07T19:54:37.615047""}, ""v"": 1, ""ts"": 1631044477615}], ""v"": 1}",
"854","csk_nS2SX3LU1N9jwEx",,"187","635","2021-09-07 19:54:37.622347","2021-09-07 19:54:37.622347","{""h"": [{""c"": {""id"": 854, ""uid"": ""csk_nS2SX3LU1N9jwEx"", ""primary"": null, ""skill_id"": 635, ""search_id"": null, ""article_id"": 187, ""created_at"": ""2021-09-07T19:54:37.622347"", ""updated_at"": ""2021-09-07T19:54:37.622347""}, ""v"": 1, ""ts"": 1631044477622}], ""v"": 1}",
"517","csk_25BM4iyHLZ5xnt9","f",,"420","2021-07-27 13:03:15.611122","2021-07-27 13:03:15.611122","{""h"": [{""c"": {""id"": 517, ""uid"": ""csk_25BM4iyHLZ5xnt9"", ""primary"": false, ""skill_id"": 420, ""search_id"": 111, ""article_id"": null, ""created_at"": ""2021-07-27T13:03:15.611122"", ""updated_at"": ""2021-07-27T13:03:15.611122""}, ""m"": {""_r"": 17094}, ""v"": 1, ""ts"": 1627390995611}], ""v"": 1}","111"
"518","csk_KB9KK90ypWaKv03","f",,"5","2021-07-27 13:03:15.624258","2021-07-27 13:03:15.624258","{""h"": [{""c"": {""id"": 518, ""uid"": ""csk_KB9KK90ypWaKv03"", ""primary"": false, ""skill_id"": 5, ""search_id"": 111, ""article_id"": null, ""created_at"": ""2021-07-27T13:03:15.624258"", ""updated_at"": ""2021-07-27T13:03:15.624258""}, ""m"": {""_r"": 17094}, ""v"": 1, ""ts"": 1627390995624}], ""v"": 1}","111"
"519","csk_2ebvp6YW2Zuo6ma","f",,"425","2021-07-27 13:03:15.63552","2021-07-27 13:03:15.63552","{""h"": [{""c"": {""id"": 519, ""uid"": ""csk_2ebvp6YW2Zuo6ma"", ""primary"": false, ""skill_id"": 425, ""search_id"": 111, ""article_id"": null, ""created_at"": ""2021-07-27T13:03:15.63552"", ""updated_at"": ""2021-07-27T13:03:15.63552""}, ""m"": {""_r"": 17094}, ""v"": 1, ""ts"": 1627390995636}], ""v"": 1}","111"
"520","csk_rl1fOarp2UPwJBj","f",,"244","2021-07-27 13:03:15.643857","2021-07-27 13:03:15.643857","{""h"": [{""c"": {""id"": 520, ""uid"": ""csk_rl1fOarp2UPwJBj"", ""primary"": false, ""skill_id"": 244, ""search_id"": 111, ""article_id"": null, ""created_at"": ""2021-07-27T13:03:15.643857"", ""updated_at"": ""2021-07-27T13:03:15.643857""}, ""m"": {""_r"": 17094}, ""v"": 1, ""ts"": 1627390995644}], ""v"": 1}","111"
"521","csk_Fq9zlmo8DA5o7HL","f",,"635","2021-07-27 13:05:34.825042","2021-07-27 13:05:34.825042","{""h"": [{""c"": {""id"": 521, ""uid"": ""csk_Fq9zlmo8DA5o7HL"", ""primary"": false, ""skill_id"": 635, ""search_id"": 112, ""article_id"": null, ""created_at"": ""2021-07-27T13:05:34.825042"", ""updated_at"": ""2021-07-27T13:05:34.825042""}, ""m"": {""_r"": 15473}, ""v"": 1, ""ts"": 1627391134825}], ""v"": 1}","112"
"522","csk_CQkh2i2EnmckGoa","f",,"1140","2021-07-27 13:05:34.83427","2021-07-27 13:05:34.83427","{""h"": [{""c"": {""id"": 522, ""uid"": ""csk_CQkh2i2EnmckGoa"", ""primary"": false, ""skill_id"": 1140, ""search_id"": 112, ""article_id"": null, ""created_at"": ""2021-07-27T13:05:34.83427"", ""updated_at"": ""2021-07-27T13:05:34.83427""}, ""m"": {""_r"": 15473}, ""v"": 1, ""ts"": 1627391134834}], ""v"": 1}","112"
"851","csk_BjAEAs0OLBv6Ksr","t","187","8","2021-09-07 19:54:37.598194","2021-09-07 19:54:37.631672","{""h"": [{""c"": {""id"": 851, ""uid"": ""csk_BjAEAs0OLBv6Ksr"", ""primary"": null, ""skill_id"": 8, ""search_id"": null, ""article_id"": 187, ""created_at"": ""2021-09-07T19:54:37.598194"", ""updated_at"": ""2021-09-07T19:54:37.598194""}, ""v"": 1, ""ts"": 1631044477598}, {""c"": {""primary"": true, ""updated_at"": ""2021-09-07 19:54:37.631672""}, ""v"": 2, ""ts"": 1631044477632}], ""v"": 2}",
"523","csk_Avswc0QW63xaap4","f",,"543","2021-07-27 13:05:34.84274","2021-07-27 13:05:34.84274","{""h"": [{""c"": {""id"": 523, ""uid"": ""csk_Avswc0QW63xaap4"", ""primary"": false, ""skill_id"": 543, ""search_id"": 112, ""article_id"": null, ""created_at"": ""2021-07-27T13:05:34.84274"", ""updated_at"": ""2021-07-27T13:05:34.84274""}, ""m"": {""_r"": 15473}, ""v"": 1, ""ts"": 1627391134843}], ""v"": 1}","112"
"805","csk_a86dZFgO6GLQGVa","f",,"8","2021-08-25 15:05:14.390347","2021-08-25 15:05:14.390347","{""h"": [{""c"": {""id"": 805, ""uid"": ""csk_a86dZFgO6GLQGVa"", ""primary"": false, ""skill_id"": 8, ""search_id"": 357, ""article_id"": null, ""created_at"": ""2021-08-25T15:05:14.390347"", ""updated_at"": ""2021-08-25T15:05:14.390347""}, ""m"": {""_r"": 30637}, ""v"": 1, ""ts"": 1629903914390}], ""v"": 1}","357"
"856","csk_e7k1EPaC5cQpNEr",,"188","5","2021-09-07 19:54:39.225516","2021-09-07 19:54:39.225516","{""h"": [{""c"": {""id"": 856, ""uid"": ""csk_e7k1EPaC5cQpNEr"", ""primary"": null, ""skill_id"": 5, ""search_id"": null, ""article_id"": 188, ""created_at"": ""2021-09-07T19:54:39.225516"", ""updated_at"": ""2021-09-07T19:54:39.225516""}, ""v"": 1, ""ts"": 1631044479226}], ""v"": 1}",
"857","csk_ssUKJIqPQIkFM19",,"188","595","2021-09-07 19:54:39.233278","2021-09-07 19:54:39.233278","{""h"": [{""c"": {""id"": 857, ""uid"": ""csk_ssUKJIqPQIkFM19"", ""primary"": null, ""skill_id"": 595, ""search_id"": null, ""article_id"": 188, ""created_at"": ""2021-09-07T19:54:39.233278"", ""updated_at"": ""2021-09-07T19:54:39.233278""}, ""v"": 1, ""ts"": 1631044479233}], ""v"": 1}",
"858","csk_fkPJ4WVs1RTImJ7",,"188","8","2021-09-07 19:54:39.241215","2021-09-07 19:54:39.241215","{""h"": [{""c"": {""id"": 858, ""uid"": ""csk_fkPJ4WVs1RTImJ7"", ""primary"": null, ""skill_id"": 8, ""search_id"": null, ""article_id"": 188, ""created_at"": ""2021-09-07T19:54:39.241215"", ""updated_at"": ""2021-09-07T19:54:39.241215""}, ""v"": 1, ""ts"": 1631044479241}], ""v"": 1}",
"859","csk_xtlP09IZZTLy5vk",,"188","956","2021-09-07 19:54:39.248395","2021-09-07 19:54:39.248395","{""h"": [{""c"": {""id"": 859, ""uid"": ""csk_xtlP09IZZTLy5vk"", ""primary"": null, ""skill_id"": 956, ""search_id"": null, ""article_id"": 188, ""created_at"": ""2021-09-07T19:54:39.248395"", ""updated_at"": ""2021-09-07T19:54:39.248395""}, ""v"": 1, ""ts"": 1631044479248}], ""v"": 1}",
"855","csk_IzbVynH6JHQQiEu","t","188","196","2021-09-07 19:54:39.21744","2021-09-07 19:54:39.259004","{""h"": [{""c"": {""id"": 855, ""uid"": ""csk_IzbVynH6JHQQiEu"", ""primary"": null, ""skill_id"": 196, ""search_id"": null, ""article_id"": 188, ""created_at"": ""2021-09-07T19:54:39.21744"", ""updated_at"": ""2021-09-07T19:54:39.21744""}, ""v"": 1, ""ts"": 1631044479217}, {""c"": {""primary"": true, ""updated_at"": ""2021-09-07 19:54:39.259004""}, ""v"": 2, ""ts"": 1631044479259}], ""v"": 2}",
"3617","csk_DNpa0NFVTIFKhKE","t","306","557","2022-01-26 15:18:15.377052","2022-01-26 15:18:15.384287","{""h"": [{""c"": {""id"": 3617, ""uid"": ""csk_DNpa0NFVTIFKhKE"", ""primary"": null, ""skill_id"": 557, ""search_id"": null, ""article_id"": 306, ""created_at"": ""2022-01-26T15:18:15.377052"", ""updated_at"": ""2022-01-26T15:18:15.377052""}, ""v"": 1, ""ts"": 1643210295377}, {""c"": {""primary"": true, ""updated_at"": ""2022-01-26 15:18:15.384287""}, ""v"": 2, ""ts"": 1643210295384}], ""v"": 2}",
